                    ALT_RAD                                                
                                                   ALT_RAD2                
                     DIRECT        D_GLOBAL        U_GLOBAL          Zenith
   Year Mn Dy Hr Mi        DIFFUSE2            D_IR            U_IR        
   2004  9  1  1  7   -1.63   36.64   36.62  299.40   28.94  309.09  86.834
   2004  9  1  1  8   -1.30   37.88   38.20  302.01   30.27  309.24  86.856
   2004  9  1  1  9   -0.84   39.43   39.66  301.66   31.43  309.25  86.879
   2004  9  1  1 10   -0.78   36.81   36.78  299.80   29.35  309.14  86.901
   2004  9  1  1 11   -0.72   34.48   34.40  297.48   27.65  309.02  86.923
   2004  9  1  1 12   -0.72   33.56   33.82  298.13   27.26  309.02  86.945
   2004  9  1  1 13   -0.68   38.01   38.87  300.78   30.18  309.24  86.967
   2004  9  1  1 14   -0.36   36.39   35.86  302.37   28.37  309.39  86.989
   2004  9  1  1 15   -0.07   30.18   29.51  302.40   23.81  309.42  87.011
   2004  9  1  1 16    0.04   26.34   25.82  301.67   20.95  309.42  87.033
   2004  9  1  1 17   -0.06   23.88   23.67  300.30   19.43  309.18  87.054
   2004  9  1  1 18   -0.41   23.52   23.43  300.42   19.25  309.06  87.075
   2004  9  1  1 19   -0.66   23.40   23.30  300.97   19.19  308.99  87.097
   2004  9  1  1 20   -0.79   24.75   24.90  302.11   20.27  308.99  87.118
   2004  9  1  1 21   -0.76   27.80   28.11  302.78   22.43  309.13  87.139
   2004  9  1  1 22   -0.51   29.09   29.16  302.92   23.15  309.20  87.160
   2004  9  1  1 23   -0.13   28.83   28.83  302.90   23.05  309.25  87.181
   2004  9  1  1 24    0.04   27.69   27.64  303.11   22.50  309.32  87.202
   2004  9  1  1 25   -0.20   27.79   27.98  302.97   22.65  309.26  87.222
   2004  9  1  1 26   -0.34   28.38   28.52  302.98   22.69  309.25  87.243
   2004  9  1  1 27   -0.29   27.38   27.22  302.66   21.74  309.46  87.263
   2004  9  1  1 28   -0.58   26.17   26.14  302.54   21.31  309.19  87.284
   2004  9  1  1 29   -0.87   27.65   27.92  302.75   22.59  309.13  87.304
   2004  9  1  1 30   -0.87   29.11   29.11  302.86   22.86  309.12  87.324
   2004  9  1  1 31   -0.73   26.78   26.24  303.02   20.69  309.06  87.344
   2004  9  1  1 32   -0.52   23.17   22.71  303.15   18.69  309.05  87.364
   2004  9  1  1 33   -0.26   21.83   21.65  303.03   18.21  309.18  87.384
   2004  9  1  1 34   -0.01   21.37   21.27  303.17   17.79  309.21  87.403
   2004  9  1  1 35    0.04   20.20   20.12  303.00   16.80  309.32  87.423
   2004  9  1  1 36   -0.26   19.67   19.67  302.60   16.46  309.15  87.442
   2004  9  1  1 37   -0.89   20.39   20.37  302.68   17.03  308.91  87.461
   2004  9  1  1 38   -1.07   20.72   20.64  302.76   17.14  308.87  87.481
   2004  9  1  1 39   -1.13   20.77   20.62  302.70   17.01  308.86  87.500
   2004  9  1  1 40   -1.25   20.30   20.11  302.67   16.81  308.71  87.519
   2004  9  1  1 41   -1.28   20.39   20.30  302.72   17.13  308.61  87.538
   2004  9  1  1 42   -1.23   19.96   19.84  302.72   16.65  308.63  87.556
   2004  9  1  1 43   -0.88   19.66   19.70  302.77   16.42  308.68  87.575
   2004  9  1  1 44   -0.37   20.05   20.16  302.92   16.70  308.74  87.593
   2004  9  1  1 45   -0.04   20.91   21.09  303.12   17.41  308.84  87.612
   2004  9  1  1 46    0.18   22.60   22.82  303.12   18.51  308.84  87.630
   2004  9  1  1 47    0.21   22.81   22.84  302.60   18.42  308.81  87.648
   2004  9  1  1 48   -0.20   21.47   21.59  302.50   17.65  308.74  87.666
   2004  9  1  1 49   -0.67   21.03   21.24  302.38   17.49  308.71  87.684
   2004  9  1  1 50   -0.91   21.13   21.37  302.26   17.60  308.67  87.702
   2004  9  1  1 51   -1.03   21.78   22.13  302.23   18.14  308.46  87.720
   2004  9  1  1 52   -1.00   23.03   23.46  302.54   18.88  308.60  87.737
   2004  9  1  1 53   -0.93   24.06   24.43  302.66   19.55  308.72  87.755
   2004  9  1  1 54   -0.86   24.17   24.52  302.62   19.77  308.74  87.772
   2004  9  1  1 55   -0.93   23.89   24.25  302.30   19.55  308.54  87.789
   2004  9  1  1 56   -1.09   24.02   24.43  302.35   19.58  308.51  87.806
   2004  9  1  1 57   -1.11   24.82   25.22  302.97   20.11  308.72  87.823
   2004  9  1  1 58   -1.12   25.82   26.27  302.69   20.93  308.87  87.840
   2004  9  1  1 59   -1.32   26.41   26.60  302.36   21.24  308.59  87.857
   2004  9  1  2  0   -1.57   25.50   25.47  301.95   20.51  308.41  87.873
   2004  9  1  2  1   -1.72   24.41   24.36  301.67   19.58  308.36  87.890
   2004  9  1  2  2   -1.71   24.23   24.26  301.59   19.37  308.21  87.906
   2004  9  1  2  3   -1.65   23.89   23.93  301.60   19.23  308.17  87.923
   2004  9  1  2  4   -1.53   24.51   24.75  302.40   19.69  308.24  87.939
   2004  9  1  2  5   -1.28   26.45   26.87  302.72   20.87  308.42  87.955
   2004  9  1  2  6   -0.98   26.97   27.20  302.71   21.11  308.61  87.971
   2004  9  1  2  7   -0.96   26.29   26.42  302.49   20.73  308.46  87.986
   2004  9  1  2  8   -1.08   24.55   24.44  302.24   19.69  308.43  88.002
   2004  9  1  2  9   -1.08   21.91   21.74  302.09   17.72  308.33  88.018
   2004  9  1  2 10   -0.94   20.40   20.38  302.06   16.57  308.20  88.033
   2004  9  1  2 11   -0.90   19.83   19.97  302.18   16.20  308.15  88.048
   2004  9  1  2 12   -0.91   20.20   20.51  302.46   16.43  308.21  88.063
   2004  9  1  2 13   -0.78   21.42   21.80  302.46   17.18  308.21  88.078
   2004  9  1  2 14   -0.63   22.23   22.60  302.26   17.73  308.31  88.093
   2004  9  1  2 15   -0.63   22.38   22.61  301.55   17.91  308.36  88.108
   2004  9  1  2 16   -0.83   21.57   21.56  301.06   17.23  308.32  88.123
   2004  9  1  2 17   -0.92   20.32   20.25  300.76   16.25  308.07  88.137
   2004  9  1  2 18   -0.94   19.95   20.00  300.60   15.89  308.16  88.152
   2004  9  1  2 19   -0.90   20.37   20.47  300.59   16.09  307.91  88.166
   2004  9  1  2 20   -0.81   20.53   20.60  300.45   16.21  307.74  88.180
   2004  9  1  2 21   -0.79   20.55   20.66  300.54   16.22  307.69  88.194
   2004  9  1  2 22   -0.78   20.80   20.98  300.22   16.42  307.61  88.208
