time (Julian Date),irradiance,uncertainty
2432384.0,1361.5725,0.017504815
2432385.0,1360.6168,0.01662046
2432386.0,1360.8007,0.016678306
2432387.0,1361.1411,0.015728392
2432388.0,1361.4921,0.015146704
2432389.0,1362.1047,0.015794411
2432390.0,1362.4769,0.013990918
2432391.0,1362.5674,0.013883769
2432392.0,1361.9908,0.01120161
2432393.0,1362.2053,0.011171819
2432394.0,1361.9043,0.0095998762
2432395.0,1361.835,0.0081433949
2432396.0,1361.9959,0.0085945351
2432397.0,1361.9597,0.0091232775
2432398.0,1362.133,0.011979609
2432399.0,1361.6201,0.01259432
2432400.0,1361.4406,0.013976826
2432401.0,1361.3194,0.014942452
2432402.0,1361.2714,0.015273539
2432403.0,1361.5571,0.014789245
2432404.0,1361.5216,0.015810372
2432405.0,1361.9616,0.019337805
2432406.0,1361.8231,0.018907926
2432407.0,1362.351,0.020065593
2432408.0,1361.8998,0.0209919
2432409.0,1362.301,0.020736807
2432410.0,1362.392,0.021092506
2432411.0,1361.8203,0.019246784
2432412.0,1361.8521,0.019414056
2432413.0,1362.1207,0.017009359
2432414.0,1361.7544,0.013440469
2432415.0,1361.6123,0.011912357
2432416.0,1361.8274,0.011264524
2432417.0,1362.0011,0.010294966
2432418.0,1361.9503,0.0089533723
2432419.0,1361.8598,0.007798189
2432420.0,1362.0013,0.0073753941
2432421.0,1361.9509,0.0070384419
2432422.0,1361.8836,0.0067217908
2432423.0,1361.7845,0.0071859319
2432424.0,1361.9791,0.0089083346
2432425.0,1362.0685,0.0097483959
2432426.0,1362.0328,0.010500033
2432427.0,1362.1222,0.011597346
2432428.0,1362.296,0.014363736
2432429.0,1362.2669,0.016177898
2432430.0,1362.6606,0.016407268
2432431.0,1362.4445,0.015571386
2432432.0,1362.1798,0.013587425
2432433.0,1362.2883,0.013287371
2432434.0,1362.0964,0.012993766
2432435.0,1362.1089,0.01334897
2432436.0,1362.2607,0.01343314
2432437.0,1362.4124,0.013062204
2432438.0,1362.2878,0.012238419
2432439.0,1362.5792,0.012776953
2432440.0,1361.8304,0.0095908945
2432441.0,1361.6788,0.0093194282
2432442.0,1362.1501,0.010569813
2432443.0,1362.1319,0.0097389958
2432444.0,1361.7964,0.0082135298
2432445.0,1361.4911,0.0076036614
2432446.0,1361.535,0.0074744394
2432447.0,1361.5485,0.0075889918
2432448.0,1361.6406,0.0073028558
2432449.0,1361.4779,0.0066038537
2432450.0,1361.4112,0.006412921
2432451.0,1361.5399,0.0072694736
2432452.0,1361.8689,0.0093738644
2432453.0,1362.398,0.011964789
2432454.0,1361.807,0.012174098
2432455.0,1361.851,0.011336184
2432456.0,1361.6471,0.010802734
2432457.0,1361.6359,0.010484252
2432458.0,1361.6887,0.011087077
2432459.0,1362.2821,0.012747155
2432460.0,1361.834,0.010953502
2432461.0,1361.5363,0.012248085
2432462.0,1361.8972,0.01466975
2432463.0,1361.8766,0.016543406
2432464.0,1361.3352,0.015772681
2432465.0,1361.3541,0.014028839
2432466.0,1361.9338,0.014093596
2432467.0,1362.2298,0.013376987
2432468.0,1362.2128,0.012595633
2432469.0,1362.0812,0.011531359
2432470.0,1362.1322,0.01066958
2432471.0,1362.1081,0.010139348
2432472.0,1361.9604,0.0088113711
2432473.0,1361.7493,0.0074457546
2432474.0,1361.5625,0.0068051709
2432475.0,1361.5638,0.0075695794
2432476.0,1361.6663,0.0080551955
2432477.0,1361.3191,0.0068364417
2432478.0,1361.6241,0.0081233322
2432479.0,1361.8302,0.0099175335
2432480.0,1361.6183,0.009952421
2432481.0,1361.7403,0.011728106
2432482.0,1361.9734,0.013058996
2432483.0,1361.8836,0.013619656
2432484.0,1361.5865,0.013769415
2432485.0,1362.0729,0.013241891
2432486.0,1361.9966,0.012636956
2432487.0,1362.1979,0.011524225
2432488.0,1362.0669,0.010394955
2432489.0,1362.0625,0.010364528
2432490.0,1361.9471,0.0098347763
2432491.0,1362.0723,0.0095674228
2432492.0,1361.6589,0.0084036108
2432493.0,1361.5197,0.0070081906
2432494.0,1361.4033,0.0063619654
2432495.0,1361.5857,0.0064150589
2432496.0,1361.4092,0.0054182875
2432497.0,1361.4129,0.0053182732
2432498.0,1361.4579,0.0051820295
2432499.0,1361.399,0.0051760021
2432500.0,1361.3781,0.0054840169
2432501.0,1361.2654,0.0063958057
2432502.0,1361.2763,0.007292861
2432503.0,1361.452,0.0077093248
2432504.0,1361.3157,0.0082008056
2432505.0,1361.5162,0.0097252128
2432506.0,1361.7403,0.0092900413
2432507.0,1361.262,0.0088049422
2432508.0,1361.464,0.0095188992
2432509.0,1361.3527,0.01038875
2432510.0,1361.4589,0.0105107
2432511.0,1361.5794,0.01140129
2432512.0,1361.6101,0.011634201
2432513.0,1362.2137,0.01175879
2432514.0,1361.7184,0.010902795
2432515.0,1361.7682,0.010026322
2432516.0,1361.8735,0.0096100404
2432517.0,1361.9213,0.0091164818
2432518.0,1362.1845,0.0097232928
2432519.0,1361.9983,0.0080163091
2432520.0,1362.1209,0.0084329323
2432521.0,1361.9525,0.0086257917
2432522.0,1361.4594,0.0062503355
2432523.0,1361.5927,0.0064448117
2432524.0,1361.4868,0.0058681322
2432525.0,1362.006,0.008176451
2432526.0,1361.8454,0.008429424
2432527.0,1361.7711,0.0082737403
2432528.0,1361.205,0.0075404876
2432529.0,1361.3517,0.0082683595
2432530.0,1361.1719,0.0080613994
2432531.0,1361.3882,0.0083840981
2432532.0,1360.9305,0.007837894
2432533.0,1361.5234,0.0088429229
2432534.0,1361.3469,0.0085264333
2432535.0,1361.6082,0.0084255934
2432536.0,1361.8068,0.010551634
2432537.0,1361.9045,0.010854379
2432538.0,1361.8939,0.010248428
2432539.0,1361.9141,0.0096303099
2432540.0,1361.7872,0.0087328548
2432541.0,1361.7405,0.007519385
2432542.0,1361.5193,0.0068601701
2432543.0,1361.6289,0.0072973898
2432544.0,1361.5585,0.0066819021
2432545.0,1361.7176,0.007220678
2432546.0,1361.6149,0.0081863955
2432547.0,1361.3515,0.008639305
2432548.0,1361.1453,0.0089063501
2432549.0,1361.0223,0.0094045656
2432550.0,1361.4721,0.010241735
2432551.0,1361.5269,0.0092517889
2432552.0,1361.8332,0.010154974
2432553.0,1361.9665,0.010640415
2432554.0,1361.625,0.0085317833
2432555.0,1361.7374,0.0078141198
2432556.0,1361.9869,0.0079948266
2432557.0,1362.0739,0.0082364247
2432558.0,1362.089,0.0084336952
2432559.0,1361.9285,0.0078877977
2432560.0,1361.589,0.0065454896
2432561.0,1361.2997,0.0061420603
2432562.0,1361.3829,0.0055987631
2432563.0,1361.5972,0.0058243993
2432564.0,1361.5822,0.0059632424
2432565.0,1361.6491,0.0060475805
2432566.0,1361.53,0.0057553833
2432567.0,1361.552,0.0060818023
2432568.0,1361.5416,0.0056625202
2432569.0,1361.6396,0.0057825778
2432570.0,1361.7275,0.0063518668
2432571.0,1361.7518,0.0068298807
2432572.0,1361.4312,0.0062632236
2432573.0,1361.4941,0.0072252274
2432574.0,1361.3288,0.0067078197
2432575.0,1361.0081,0.0064930267
2432576.0,1361.0612,0.0064041271
2432577.0,1361.2644,0.0063856704
2432578.0,1361.428,0.0063337136
2432579.0,1361.2269,0.0053857123
2432580.0,1361.5666,0.0059790603
2432581.0,1361.8015,0.0068012483
2432582.0,1361.6415,0.005735933
2432583.0,1361.3889,0.0047265555
2432584.0,1361.2569,0.0050018383
2432585.0,1361.148,0.0053158461
2432586.0,1360.958,0.0051723638
2432587.0,1361.1572,0.0053217228
2432588.0,1360.8781,0.0044609224
2432589.0,1360.8866,0.0049624368
2432590.0,1360.9806,0.004360918
2432591.0,1361.1544,0.0049569809
2432592.0,1361.4585,0.0059569339
2432593.0,1361.5867,0.0056809089
2432594.0,1361.4958,0.0051423562
2432595.0,1361.5577,0.0048596639
2432596.0,1361.644,0.0051551341
2432597.0,1361.7605,0.0056662812
2432598.0,1361.6678,0.0058106821
2432599.0,1361.4302,0.005255123
2432600.0,1361.1415,0.0058185401
2432601.0,1361.2915,0.0066386041
2432602.0,1360.5877,0.0068143298
2432603.0,1360.8834,0.0061027331
2432604.0,1361.5248,0.0060701942
2432605.0,1361.6499,0.0060018542
2432606.0,1361.4879,0.0047274352
2432607.0,1361.5579,0.0051531119
2432608.0,1361.3954,0.0048094691
2432609.0,1361.2198,0.0045769157
2432610.0,1360.9961,0.004243088
2432611.0,1360.7483,0.0043914969
2432612.0,1360.7107,0.0054081766
2432613.0,1360.6571,0.0055328858
2432614.0,1360.5357,0.0044893552
2432615.0,1360.6602,0.004321461
2432616.0,1360.6981,0.0040732964
2432617.0,1361.0427,0.004706409
2432618.0,1361.3752,0.005123494
2432619.0,1361.6259,0.0054130738
2432620.0,1361.5071,0.0057122274
2432621.0,1361.6018,0.0067286193
2432622.0,1361.4625,0.0070836816
2432623.0,1361.3099,0.0077132266
2432624.0,1361.0093,0.0070316842
2432625.0,1361.0607,0.0068921652
2432626.0,1361.0424,0.0064096451
2432627.0,1360.8907,0.005580141
2432628.0,1361.0285,0.0054693566
2432629.0,1361.0933,0.0048675532
2432630.0,1361.2402,0.0047198935
2432631.0,1361.5767,0.0053104553
2432632.0,1361.6783,0.005178257
2432633.0,1361.6126,0.004723823
2432634.0,1361.4409,0.0039052961
2432635.0,1361.3804,0.0039733375
2432636.0,1361.4198,0.0044674184
2432637.0,1361.3906,0.0048984927
2432638.0,1361.3163,0.0053128302
2432639.0,1361.3602,0.0057571034
2432640.0,1361.2689,0.0063484074
2432641.0,1361.2145,0.0071368891
2432642.0,1361.2832,0.0081078982
2432643.0,1360.4715,0.0088715131
2432644.0,1360.9666,0.0095934531
2432645.0,1361.0252,0.010838821
2432646.0,1360.9888,0.0109889
2432647.0,1360.9797,0.010376185
2432648.0,1361.1816,0.010603697
2432649.0,1361.351,0.0097224827
2432650.0,1361.5602,0.0096916202
2432651.0,1361.5545,0.0094109481
2432652.0,1361.8389,0.010202615
2432653.0,1361.8201,0.010556311
2432654.0,1361.6534,0.011267
2432655.0,1361.4025,0.013130489
2432656.0,1361.7521,0.01481999
2432657.0,1361.2744,0.012472684
2432658.0,1360.7421,0.012257278
2432659.0,1360.5285,0.012061401
2432660.0,1361.2131,0.012069741
2432661.0,1361.9298,0.013337261
2432662.0,1361.8845,0.012056255
2432663.0,1362.1474,0.012759655
2432664.0,1361.9335,0.013078537
2432665.0,1361.5389,0.01268249
2432666.0,1361.5247,0.013664472
2432667.0,1361.2976,0.013595271
2432668.0,1361.4478,0.01247512
2432669.0,1361.5088,0.013198867
2432670.0,1361.4901,0.011563052
2432671.0,1361.3304,0.010358508
2432672.0,1361.339,0.0097361412
2432673.0,1361.848,0.010786456
2432674.0,1361.7849,0.0098668786
2432675.0,1361.8005,0.0091712548
2432676.0,1362.1716,0.010935685
2432677.0,1362.4545,0.013063536
2432678.0,1362.5851,0.016113671
2432679.0,1362.2274,0.018924514
2432680.0,1362.1743,0.020968265
2432681.0,1362.1443,0.022455855
2432682.0,1361.4288,0.023353568
2432683.0,1360.6944,0.022686835
2432684.0,1360.5014,0.021645545
2432685.0,1360.966,0.019674835
2432686.0,1361.6771,0.018210723
2432687.0,1362.0366,0.01471447
2432688.0,1362.0183,0.013436077
2432689.0,1362.2803,0.012385434
2432690.0,1362.128,0.010275981
2432691.0,1362.116,0.0095580671
2432692.0,1362.0298,0.0087124383
2432693.0,1362.4151,0.0098627181
2432694.0,1361.9738,0.0079275459
2432695.0,1361.8557,0.0080255418
2432696.0,1361.9907,0.0088515429
2432697.0,1361.9819,0.0088921979
2432698.0,1361.9023,0.0087528905
2432699.0,1361.8926,0.010041423
2432700.0,1361.7124,0.010677446
2432701.0,1361.5332,0.01065703
2432702.0,1361.4392,0.01074136
2432703.0,1361.381,0.010988086
2432704.0,1361.4315,0.01133601
2432705.0,1361.253,0.010547999
2432706.0,1361.6646,0.011007676
2432707.0,1361.9266,0.011007427
2432708.0,1362.0717,0.011438289
2432709.0,1362.0619,0.010367664
2432710.0,1361.9269,0.0097137838
2432711.0,1362.3349,0.011073823
2432712.0,1362.0402,0.010537559
2432713.0,1361.7557,0.010030677
2432714.0,1361.6652,0.0088534041
2432715.0,1361.6938,0.0086390977
2432716.0,1361.7973,0.0083974403
2432717.0,1361.6886,0.0081283331
2432718.0,1361.4983,0.0077597108
2432719.0,1361.4042,0.0080661218
2432720.0,1361.3294,0.0099379183
