time (days since 1610-01-01),irradiance (W/m^2),uncertainty (W/m^2)
99360.0,1360.78759765625,0.4894365966320038
99391.0,1360.7861328125,0.5602162480354309
99419.0,1360.6796875,0.5955523252487183
99450.0,1360.348876953125,0.7054582238197327
99480.0,1360.2493896484375,0.6216161847114563
99511.0,1360.5247802734375,0.49746471643447876
99541.0,1360.6456298828125,0.48585420846939087
99572.0,1360.516357421875,0.4942012429237366
99603.0,1360.42431640625,0.5398586392402649
99633.0,1360.274169921875,0.5975289940834045
99664.0,1360.1259765625,0.694537341594696
99694.0,1360.8045654296875,0.48201605677604675
99725.0,1360.538330078125,0.5561780333518982
99756.0,1360.52880859375,0.5344015955924988
99784.0,1360.5992431640625,0.5122940540313721
99815.0,1360.4302978515625,0.6170288324356079
99845.0,1360.7879638671875,0.478427916765213
99876.0,1360.2403564453125,0.6355199813842773
99906.0,1360.04296875,0.716821551322937
99937.0,1360.7186279296875,0.5316823720932007
99968.0,1360.47314453125,0.6179618835449219
99998.0,1360.34033203125,0.7005883455276489
100029.0,1360.5245361328125,0.7427063584327698
100059.0,1360.6680908203125,0.6992976069450378
100090.0,1360.6734619140625,0.7527274489402771
100121.0,1360.715576171875,0.7429681420326233
100150.0,1360.7926025390625,0.7159222960472107
100181.0,1360.4742431640625,0.711611807346344
100211.0,1360.6541748046875,0.658543586730957
100242.0,1360.9228515625,0.5654260516166687
100272.0,1360.7713623046875,0.5551667213439941
100303.0,1360.6966552734375,0.569175124168396
100334.0,1360.5106201171875,0.6197364330291748
100364.0,1360.4432373046875,0.589198648929596
100395.0,1360.6728515625,0.5083994269371033
100425.0,1360.4947509765625,0.5826822519302368
100456.0,1360.723388671875,0.5425647497177124
100487.0,1360.5299072265625,0.6373327374458313
100515.0,1360.5394287109375,0.5670246481895447
100546.0,1360.4903564453125,0.5834179520606995
100576.0,1360.6573486328125,0.6586982607841492
100607.0,1360.239501953125,0.7407435178756714
100637.0,1360.5228271484375,0.6464695930480957
100668.0,1360.6273193359375,0.5601555705070496
100699.0,1360.521728515625,0.5493404269218445
100729.0,1360.4588623046875,0.5460872054100037
100760.0,1360.522216796875,0.5059176087379456
100790.0,1360.5418701171875,0.4609687030315399
100821.0,1360.33154296875,0.4986026883125305
100852.0,1360.489990234375,0.4804346263408661
100880.0,1360.2596435546875,0.6041197776794434
100911.0,1360.47412109375,0.5435541272163391
100941.0,1360.2901611328125,0.5259215235710144
100972.0,1360.4466552734375,0.49134668707847595
101002.0,1360.353515625,0.4954063594341278
101033.0,1360.47998046875,0.44696658849716187
101064.0,1360.398681640625,0.4555087685585022
101094.0,1360.3441162109375,0.41195958852767944
101125.0,1360.2872314453125,0.3888421356678009
101155.0,1360.2552490234375,0.4312247931957245
101186.0,1360.347412109375,0.4258705675601959
101217.0,1360.3851318359375,0.43048954010009766
101245.0,1360.34130859375,0.41251829266548157
101276.0,1360.33203125,0.4176918864250183
101306.0,1360.3162841796875,0.4641641080379486
101337.0,1360.332275390625,0.4780077040195465
101367.0,1360.336669921875,0.4866466224193573
101398.0,1360.3802490234375,0.46370670199394226
101429.0,1360.260986328125,0.43508049845695496
101459.0,1360.2957763671875,0.42567214369773865
101490.0,1360.3145751953125,0.4253092408180237
101520.0,1360.0814208984375,0.4995940625667572
101551.0,1360.3388671875,0.4521367847919464
101582.0,1360.2620849609375,0.43008503317832947
101611.0,1360.25244140625,0.4279189109802246
101642.0,1360.2998046875,0.4207783043384552
101672.0,1360.189208984375,0.4349461495876312
101703.0,1360.2734375,0.4202752113342285
101733.0,1360.2745361328125,0.4157499074935913
101764.0,1360.286376953125,0.4252431392669678
101795.0,1360.283203125,0.4395022988319397
101825.0,1360.276611328125,0.41397759318351746
101856.0,1360.1715087890625,0.44998762011528015
101886.0,1360.24755859375,0.4270775020122528
101917.0,1360.2379150390625,0.40516507625579834
101948.0,1360.24755859375,0.4142948389053345
101976.0,1360.2879638671875,0.4183225631713867
102007.0,1360.25341796875,0.41195032000541687
102037.0,1360.244384765625,0.4045473039150238
102068.0,1360.17333984375,0.4370294511318207
102098.0,1360.28076171875,0.4444844126701355
102129.0,1360.2646484375,0.4653325080871582
102160.0,1360.2803955078125,0.42595142126083374
102190.0,1360.254150390625,0.40344202518463135
102221.0,1360.234619140625,0.39598962664604187
102251.0,1360.2562255859375,0.41037267446517944
102282.0,1360.2796630859375,0.4105083644390106
102313.0,1360.25341796875,0.39710021018981934
102341.0,1360.23681640625,0.40463414788246155
102372.0,1360.266845703125,0.39987537264823914
102402.0,1360.30322265625,0.4084567725658417
102433.0,1360.2899169921875,0.40116846561431885
102463.0,1360.2994384765625,0.42646393179893494
102494.0,1360.281494140625,0.43941619992256165
102525.0,1360.3267822265625,0.45413535833358765
102555.0,1360.2591552734375,0.43789857625961304
102586.0,1360.232421875,0.42839565873146057
102616.0,1360.346923828125,0.41932258009910583
102647.0,1360.367919921875,0.4500073492527008
102678.0,1360.43701171875,0.4828386604785919
102706.0,1360.486083984375,0.4539394676685333
102737.0,1360.4927978515625,0.5045457482337952
102767.0,1360.6192626953125,0.5759083032608032
102798.0,1360.6427001953125,0.5954400300979614
102828.0,1360.4833984375,0.6307362914085388
102859.0,1360.716064453125,0.5645796656608582
102890.0,1360.3262939453125,0.6516026854515076
102920.0,1360.6561279296875,0.5953925251960754
102951.0,1360.5863037109375,0.5798571705818176
102981.0,1360.63623046875,0.5512993335723877
103012.0,1360.5941162109375,0.680717945098877
103043.0,1360.204345703125,0.7563543319702148
103072.0,1360.7109375,0.610011875629425
103103.0,1360.7349853515625,0.6698532700538635
103133.0,1360.510986328125,0.7549667954444885
103164.0,1360.85986328125,0.7167527675628662
103194.0,1360.319091796875,0.7830431461334229
103225.0,1360.69873046875,0.7688091397285461
103256.0,1360.7841796875,0.671063244342804
103286.0,1360.7332763671875,0.6581977605819702
103317.0,1360.69189453125,0.6499613523483276
103347.0,1360.9189453125,0.6833576560020447
103378.0,1360.638671875,0.7017613053321838
103409.0,1360.5999755859375,0.6885374784469604
103437.0,1360.8594970703125,0.6761751174926758
103468.0,1360.9462890625,0.7538526058197021
103498.0,1361.138671875,0.774643063545227
103529.0,1360.9627685546875,0.7971776723861694
103559.0,1360.937744140625,0.8228804469108582
103590.0,1360.723388671875,0.956479012966156
103621.0,1360.686767578125,0.8211100697517395
103651.0,1360.900390625,0.7936784029006958
103682.0,1360.84765625,0.7649261355400085
103712.0,1360.536376953125,0.8393104076385498
103743.0,1361.0428466796875,0.8505523204803467
103774.0,1360.9786376953125,0.8062857985496521
103802.0,1361.1512451171875,0.6559460163116455
103833.0,1360.6944580078125,0.7789537310600281
