irradiance,time,uncertainty
1361.3564453125,1970-15-01,0.5603513121604919
1361.090576171875,1970-46-02,0.6423571705818176
1361.6412353515625,1970-74-03,0.5571277141571045
1361.3487548828125,1970-105-04,0.610397219657898
1361.2384033203125,1970-135-05,0.6647059917449951
1361.541015625,1970-166-06,0.5767399072647095
1361.328857421875,1970-196-07,0.589699923992157
1361.3031005859375,1970-227-08,0.4586934745311737
1361.335693359375,1970-258-09,0.4989226460456848
1361.3900146484375,1970-288-10,0.49583572149276733
1361.366943359375,1970-319-11,0.5449463725090027
1361.5447998046875,1970-349-12,0.5314720273017883
1361.068115234375,1971-15-01,0.5562562346458435
1361.079345703125,1971-46-02,0.4502466320991516
1361.334228515625,1971-74-03,0.33456122875213623
1361.090576171875,1971-105-04,0.33601152896881104
1361.068359375,1971-135-05,0.2926710247993469
1361.14306640625,1971-166-06,0.24797508120536804
1360.9154052734375,1971-196-07,0.3572438657283783
1360.8876953125,1971-227-08,0.3506716191768646
1361.0906982421875,1971-258-09,0.24585145711898804
1360.843505859375,1971-288-10,0.3090902864933014
1360.9927978515625,1971-319-11,0.3084040582180023
1360.974853515625,1971-349-12,0.33068475127220154
1361.26171875,1972-15-01,0.2691020667552948
1361.021240234375,1972-46-02,0.41018861532211304
1361.064453125,1972-75-03,0.3859025835990906
1361.4119873046875,1972-106-04,0.3066560924053192
1360.9112548828125,1972-136-05,0.37396764755249023
1361.129150390625,1972-167-06,0.43183815479278564
1361.2479248046875,1972-197-07,0.3511357307434082
1361.1072998046875,1972-228-08,0.3540530800819397
1361.2786865234375,1972-259-09,0.29487529397010803
1360.90380859375,1972-289-10,0.32206210494041443
1361.02587890625,1972-320-11,0.22136062383651733
1360.847900390625,1972-350-12,0.21828538179397583
1360.9940185546875,1973-15-01,0.2101883590221405
1360.989501953125,1973-46-02,0.20945212244987488
1360.7843017578125,1973-74-03,0.24320003390312195
1360.8875732421875,1973-105-04,0.2714393138885498
1360.9967041015625,1973-135-05,0.21758437156677246
1360.93017578125,1973-166-06,0.19823220372200012
1360.851318359375,1973-196-07,0.15582363307476044
1360.848388671875,1973-227-08,0.14370371401309967
1360.6800537109375,1973-258-09,0.27105170488357544
1360.8424072265625,1973-288-10,0.18414871394634247
1360.7823486328125,1973-319-11,0.13425704836845398
1360.796875,1973-349-12,0.1335446536540985
1360.7685546875,1974-15-01,0.12497430294752121
1360.731689453125,1974-46-02,0.12399225682020187
1360.8466796875,1974-74-03,0.12166920304298401
1360.6934814453125,1974-105-04,0.15971282124519348
1360.897705078125,1974-135-05,0.1875269114971161
1360.93505859375,1974-166-06,0.18086087703704834
1360.6202392578125,1974-196-07,0.24156516790390015
1360.8031005859375,1974-227-08,0.17465102672576904
1360.7001953125,1974-258-09,0.19096879661083221
1360.696044921875,1974-288-10,0.21349221467971802
1360.8519287109375,1974-319-11,0.16524025797843933
1360.7059326171875,1974-349-12,0.12408323585987091
1360.6595458984375,1975-15-01,0.06769819557666779
1360.6441650390625,1975-46-02,0.048880744725465775
1360.7130126953125,1975-74-03,0.05243948474526405
1360.79736328125,1975-105-04,0.060187581926584244
1360.787353515625,1975-135-05,0.06823105365037918
